city,date,year,month,season,max_temp,min_temp,mean_temp,temperature_category,temp_range,rainfall_mm,is_rainy,daily_duration
Shimla,25-04-2024,2024,4,Spring,21.1,6.7,14.8,Cool,14.4,0,FALSE,47663.29
Shimla,26-04-2024,2024,4,Spring,22.7,8.6,16.1,Cool,14.1,0.7,FALSE,47763.61
Shimla,27-04-2024,2024,4,Spring,16.9,7.7,11.3,Cool,9.2,11.9,TRUE,47863.4
Shimla,28-04-2024,2024,4,Spring,19.9,7.6,14.1,Cool,12.3,1.1,TRUE,47962.57
Shimla,29-04-2024,2024,4,Spring,16.8,6.1,10.5,Cool,10.7,5.6,TRUE,48061.05
Shimla,30-04-2024,2024,4,Spring,20.2,5.7,12.9,Cool,14.5,0,FALSE,48158.76
Shimla,01-05-2024,2024,5,Spring,16.4,4.9,9.8,Cold,11.5,0.7,FALSE,48255.6
Shimla,02-05-2024,2024,5,Spring,18.5,4.5,13.8,Cool,14,0,FALSE,48351.49
Shimla,03-05-2024,2024,5,Spring,21.7,7.1,16.4,Cool,14.6,0.3,FALSE,48446.35
Shimla,04-05-2024,2024,5,Spring,22.5,10.3,17.1,Cool,12.2,0.8,FALSE,48540.07
Shimla,05-05-2024,2024,5,Spring,23.1,9.7,17.4,Cool,13.4,0,FALSE,48632.57
Shimla,06-05-2024,2024,5,Spring,24.3,9.9,17.1,Cool,14.4,3.8,TRUE,48723.77
Shimla,07-05-2024,2024,5,Spring,24.1,10.6,18.1,Cool,13.5,0.2,FALSE,48813.54
Shimla,08-05-2024,2024,5,Spring,22.7,10.9,18.4,Cool,11.8,0,FALSE,48901.82
Shimla,09-05-2024,2024,5,Spring,21.9,11.4,17.2,Cool,10.5,1,FALSE,48988.49
Shimla,10-05-2024,2024,5,Spring,22.6,12,19.3,Cool,10.6,0,FALSE,49073.45
Shimla,11-05-2024,2024,5,Spring,21.4,10.3,15.9,Cool,11.1,0.7,FALSE,49156.61
Shimla,12-05-2024,2024,5,Spring,20.2,9.9,14.9,Cool,10.3,3.9,TRUE,49237.99
Shimla,13-05-2024,2024,5,Spring,22.9,9.8,17.4,Cool,13.1,0,FALSE,49318.24
Shimla,14-05-2024,2024,5,Spring,24.2,9.8,18,Cool,14.4,0,FALSE,49397.41
Shimla,15-05-2024,2024,5,Spring,25.5,11.4,19.2,Cool,14.1,0,FALSE,49475.43
Shimla,16-05-2024,2024,5,Spring,25.8,11.6,20.5,Warm,14.2,0,FALSE,49552.22
Shimla,17-05-2024,2024,5,Spring,26.9,13.3,20.8,Warm,13.6,0,FALSE,49627.71
